path,size,is_empty,has_path,path_count,path_tokens,image_count,base64_image_count
"/Users/xiaoxiaobo/random2000/EADcCCZaqN8_白蓝色城市夜景照片企业分享中文演示文稿/幻灯片8.SVG",507369,0,1,1,10,3,3
"/Users/xiaoxiaobo/random2000/EADcCCZaqN8_白蓝色城市夜景照片企业分享中文演示文稿/幻灯片9.SVG",246733,0,1,1,10,1,1
"/Users/xiaoxiaobo/random2000/EADcCCZaqN8_白蓝色城市夜景照片企业分享中文演示文稿/幻灯片2.SVG",1230119,0,0,0,0,1,1
"/Users/xiaoxiaobo/random2000/EADcCCZaqN8_白蓝色城市夜景照片企业分享中文演示文稿/幻灯片3.SVG",506687,0,1,1,10,3,3
"/Users/xiaoxiaobo/random2000/EADcCCZaqN8_白蓝色城市夜景照片企业分享中文演示文稿/幻灯片1.SVG",96063,0,1,31,3443,1,1
"/Users/xiaoxiaobo/random2000/EADcCCZaqN8_白蓝色城市夜景照片企业分享中文演示文稿/幻灯片10.SVG",96045,0,1,31,3443,1,1
"/Users/xiaoxiaobo/random2000/EADcCCZaqN8_白蓝色城市夜景照片企业分享中文演示文稿/幻灯片4.SVG",351735,0,1,1,10,4,4
"/Users/xiaoxiaobo/random2000/EADcCCZaqN8_白蓝色城市夜景照片企业分享中文演示文稿/幻灯片5.SVG",361100,0,1,1,10,2,2
"/Users/xiaoxiaobo/random2000/EADcCCZaqN8_白蓝色城市夜景照片企业分享中文演示文稿/幻灯片7.SVG",308004,0,1,1,10,3,3
"/Users/xiaoxiaobo/random2000/EADcCCZaqN8_白蓝色城市夜景照片企业分享中文演示文稿/幻灯片6.SVG",23491,0,0,0,0,1,1
"/Users/xiaoxiaobo/random2000/EAEoqKcPEgw_粉白色亲子母婴相框投影西式母婴培训中文演示文稿/幻灯片8.SVG",20966,0,1,5,139,1,1
"/Users/xiaoxiaobo/random2000/EAEoqKcPEgw_粉白色亲子母婴相框投影西式母婴培训中文演示文稿/幻灯片9.SVG",4679,0,1,3,20,0,0
"/Users/xiaoxiaobo/random2000/EAEoqKcPEgw_粉白色亲子母婴相框投影西式母婴培训中文演示文稿/幻灯片12.SVG",2560,0,0,0,0,0,0
"/Users/xiaoxiaobo/random2000/EAEoqKcPEgw_粉白色亲子母婴相框投影西式母婴培训中文演示文稿/幻灯片2.SVG",842277,0,1,8,344,1,1
"/Users/xiaoxiaobo/random2000/EAEoqKcPEgw_粉白色亲子母婴相框投影西式母婴培训中文演示文稿/幻灯片3.SVG",425253,0,0,0,0,2,2
"/Users/xiaoxiaobo/random2000/EAEoqKcPEgw_粉白色亲子母婴相框投影西式母婴培训中文演示文稿/幻灯片13.SVG",633157,0,1,2,86,3,3
"/Users/xiaoxiaobo/random2000/EAEoqKcPEgw_粉白色亲子母婴相框投影西式母婴培训中文演示文稿/幻灯片11.SVG",534017,0,0,0,0,2,2
"/Users/xiaoxiaobo/random2000/EAEoqKcPEgw_粉白色亲子母婴相框投影西式母婴培训中文演示文稿/幻灯片1.SVG",891340,0,1,7,1707,2,2
"/Users/xiaoxiaobo/random2000/EAEoqKcPEgw_粉白色亲子母婴相框投影西式母婴培训中文演示文稿/幻灯片10.SVG",533752,0,1,23,1039,2,2
"/Users/xiaoxiaobo/random2000/EAEoqKcPEgw_粉白色亲子母婴相框投影西式母婴培训中文演示文稿/幻灯片14.SVG",171375,0,1,1,10,1,1
"/Users/xiaoxiaobo/random2000/EAEoqKcPEgw_粉白色亲子母婴相框投影西式母婴培训中文演示文稿/幻灯片4.SVG",6088,0,1,5,139,0,0
"/Users/xiaoxiaobo/random2000/EAEoqKcPEgw_粉白色亲子母婴相框投影西式母婴培训中文演示文稿/幻灯片5.SVG",171107,0,1,3,96,1,1
"/Users/xiaoxiaobo/random2000/EAEoqKcPEgw_粉白色亲子母婴相框投影西式母婴培训中文演示文稿/幻灯片15.SVG",891252,0,1,7,1707,2,2
"/Users/xiaoxiaobo/random2000/EAEoqKcPEgw_粉白色亲子母婴相框投影西式母婴培训中文演示文稿/幻灯片7.SVG",654051,0,0,0,0,2,2
"/Users/xiaoxiaobo/random2000/EAEoqKcPEgw_粉白色亲子母婴相框投影西式母婴培训中文演示文稿/幻灯片6.SVG",173489,0,1,7,220,1,1
"/Users/xiaoxiaobo/random2000/EAE5V3y3_48_蓝黄色活动策划创意校园交流中文演示文稿/幻灯片8.SVG",4434,0,1,10,214,0,0
"/Users/xiaoxiaobo/random2000/EAE5V3y3_48_蓝黄色活动策划创意校园交流中文演示文稿/幻灯片9.SVG",2447,0,1,6,79,0,0
"/Users/xiaoxiaobo/random2000/EAE5V3y3_48_蓝黄色活动策划创意校园交流中文演示文稿/幻灯片12.SVG",2593,0,1,6,79,0,0
"/Users/xiaoxiaobo/random2000/EAE5V3y3_48_蓝黄色活动策划创意校园交流中文演示文稿/幻灯片2.SVG",5283,0,1,8,165,0,0
"/Users/xiaoxiaobo/random2000/EAE5V3y3_48_蓝黄色活动策划创意校园交流中文演示文稿/幻灯片3.SVG",2447,0,1,6,79,0,0
"/Users/xiaoxiaobo/random2000/EAE5V3y3_48_蓝黄色活动策划创意校园交流中文演示文稿/幻灯片13.SVG",19863,0,1,9,565,1,1
"/Users/xiaoxiaobo/random2000/EAE5V3y3_48_蓝黄色活动策划创意校园交流中文演示文稿/幻灯片11.SVG",3453,0,1,5,77,0,0
"/Users/xiaoxiaobo/random2000/EAE5V3y3_48_蓝黄色活动策划创意校园交流中文演示文稿/幻灯片1.SVG",21120,0,1,81,2060,0,0
"/Users/xiaoxiaobo/random2000/EAE5V3y3_48_蓝黄色活动策划创意校园交流中文演示文稿/幻灯片10.SVG",4578,0,1,4,52,0,0
"/Users/xiaoxiaobo/random2000/EAE5V3y3_48_蓝黄色活动策划创意校园交流中文演示文稿/幻灯片14.SVG",4671,0,1,12,196,0,0
"/Users/xiaoxiaobo/random2000/EAE5V3y3_48_蓝黄色活动策划创意校园交流中文演示文稿/幻灯片4.SVG",3652,0,1,8,144,0,0
"/Users/xiaoxiaobo/random2000/EAE5V3y3_48_蓝黄色活动策划创意校园交流中文演示文稿/幻灯片5.SVG",3759,0,1,5,75,0,0
"/Users/xiaoxiaobo/random2000/EAE5V3y3_48_蓝黄色活动策划创意校园交流中文演示文稿/幻灯片15.SVG",20945,0,1,81,2060,0,0
"/Users/xiaoxiaobo/random2000/EAE5V3y3_48_蓝黄色活动策划创意校园交流中文演示文稿/幻灯片7.SVG",4597,0,1,6,106,0,0
"/Users/xiaoxiaobo/random2000/EAE5V3y3_48_蓝黄色活动策划创意校园交流中文演示文稿/幻灯片6.SVG",2447,0,1,6,79,0,0
"/Users/xiaoxiaobo/random2000/EAE5uzd40a4_蓝白色学术汇报3D校园交流中文演示文稿/幻灯片8.SVG",14467,0,1,6,174,0,0
"/Users/xiaoxiaobo/random2000/EAE5uzd40a4_蓝白色学术汇报3D校园交流中文演示文稿/幻灯片9.SVG",109893,0,1,144,4031,8,8
"/Users/xiaoxiaobo/random2000/EAE5uzd40a4_蓝白色学术汇报3D校园交流中文演示文稿/幻灯片12.SVG",50943,0,0,0,0,1,1
"/Users/xiaoxiaobo/random2000/EAE5uzd40a4_蓝白色学术汇报3D校园交流中文演示文稿/幻灯片2.SVG",1691,0,0,0,0,0,0
"/Users/xiaoxiaobo/random2000/EAE5uzd40a4_蓝白色学术汇报3D校园交流中文演示文稿/幻灯片3.SVG",665116,0,1,1,10,3,3
"/Users/xiaoxiaobo/random2000/EAE5uzd40a4_蓝白色学术汇报3D校园交流中文演示文稿/幻灯片13.SVG",38923,0,1,48,948,2,2
"/Users/xiaoxiaobo/random2000/EAE5uzd40a4_蓝白色学术汇报3D校园交流中文演示文稿/幻灯片11.SVG",12679,0,1,5,86,0,0
"/Users/xiaoxiaobo/random2000/EAE5uzd40a4_蓝白色学术汇报3D校园交流中文演示文稿/幻灯片1.SVG",1049574,0,1,1,1339,1,1
"/Users/xiaoxiaobo/random2000/EAE5uzd40a4_蓝白色学术汇报3D校园交流中文演示文稿/幻灯片10.SVG",305764,0,1,1,10,1,1
"/Users/xiaoxiaobo/random2000/EAE5uzd40a4_蓝白色学术汇报3D校园交流中文演示文稿/幻灯片14.SVG",10102,0,1,4,73,0,0
"/Users/xiaoxiaobo/random2000/EAE5uzd40a4_蓝白色学术汇报3D校园交流中文演示文稿/幻灯片4.SVG",445500,0,0,0,0,1,1
"/Users/xiaoxiaobo/random2000/EAE5uzd40a4_蓝白色学术汇报3D校园交流中文演示文稿/幻灯片5.SVG",187941,0,1,149,4178,18,18
"/Users/xiaoxiaobo/random2000/EAE5uzd40a4_蓝白色学术汇报3D校园交流中文演示文稿/幻灯片15.SVG",11250,0,1,6,404,0,0
"/Users/xiaoxiaobo/random2000/EAE5uzd40a4_蓝白色学术汇报3D校园交流中文演示文稿/幻灯片7.SVG",18513,0,1,16,912,0,0
"/Users/xiaoxiaobo/random2000/EAE5uzd40a4_蓝白色学术汇报3D校园交流中文演示文稿/幻灯片6.SVG",144999,0,0,0,0,1,1
"/Users/xiaoxiaobo/random2000/EAE5uzd40a4_蓝白色学术汇报3D校园交流中文演示文稿/幻灯片16.SVG",1038627,0,0,0,0,1,1
"/Users/xiaoxiaobo/random2000/EADcCupADbo_蓝色医学工作报告演示文稿/幻灯片8.SVG",4459,0,1,6,365,0,0
"/Users/xiaoxiaobo/random2000/EADcCupADbo_蓝色医学工作报告演示文稿/幻灯片9.SVG",26331,0,1,2,294,1,1
"/Users/xiaoxiaobo/random2000/EADcCupADbo_蓝色医学工作报告演示文稿/幻灯片2.SVG",4129,0,1,4,461,0,0
