file,z_count,subpaths,elong_ratio,angle_std,med_area,bbox_fill,path_tokens,mode
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片8.SVG",71,71,0.985915,20.141835,1.852289,0.279001,5973,diagonal_stripes_clean
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片8.SVG",423,423,0.352246,75.169779,1.484107,0.230879,20249,hatching_multi_dir
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片8.SVG",596,596,0.365772,64.818449,0.513502,0.017244,12506,hatching_multi_dir
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片8.SVG",870,870,0.170115,58.094460,0.092218,0.012429,16495,dots_or_speckles
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片8.SVG",1209,1209,0.710505,83.229163,0.011292,0.041196,45952,hatching_multi_dir
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片8.SVG",505,505,0.318812,73.398902,0.474558,0.292153,25066,hatching_multi_dir
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片9.SVG",835,835,0.289820,83.306370,0.386839,0.176435,49820,other_compiled
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片9.SVG",1944,1944,0.657407,58.854726,0.356709,0.121586,45065,hatching_multi_dir
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片9.SVG",816,816,0.224265,65.226029,0.101157,0.048593,19987,other_compiled
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片2.SVG",10473,10473,0.402463,36.189069,0.350178,0.051989,174018,diagonal_stripes_noisy
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片2.SVG",1740,1740,0.286207,84.680311,1.356953,0.185335,83023,other_compiled
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片2.SVG",53,53,0.905660,42.072894,2.036966,0.322419,12454,diagonal_stripes_noisy
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片2.SVG",33,33,1.000000,9.788216,0.002398,0.457265,1809,diagonal_stripes_clean
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片2.SVG",1035,1035,0.287923,81.476598,0.531045,0.171231,58223,other_compiled
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片2.SVG",63,63,0.841270,45.376774,0.572905,0.240338,8464,diagonal_stripes_noisy
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片2.SVG",29,29,0.103448,46.900904,440.291607,1.179989,554,other_compiled
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片3.SVG",128,128,0.914062,36.121734,1.943753,0.111711,7857,diagonal_stripes_noisy
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片3.SVG",582,582,0.429553,37.077058,2.504331,0.007978,11338,diagonal_stripes_noisy
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片3.SVG",943,943,0.304348,72.774069,5.915276,0.354838,63726,hatching_multi_dir
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片3.SVG",397,397,0.486146,72.961808,5.058355,0.078663,20367,hatching_multi_dir
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片3.SVG",1092,1092,0.277473,69.940869,0.877943,0.329755,52959,other_compiled
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片3.SVG",65,65,0.984615,34.521194,0.333301,0.181839,3841,diagonal_stripes_noisy
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片3.SVG",7020,7020,0.372650,53.855606,0.079991,0.052242,139832,other_compiled
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片3.SVG",680,680,0.425000,52.999011,2.448297,0.249807,20069,diagonal_stripes_noisy
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片3.SVG",93,93,1.000000,40.638457,0.616015,0.264261,8446,diagonal_stripes_noisy
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片1.SVG",1215,1215,0.298765,69.575713,5.637139,0.271966,77133,other_compiled
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片1.SVG",50,50,0.920000,38.919287,1.082098,0.136476,9390,diagonal_stripes_noisy
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片1.SVG",368,368,0.652174,72.024398,0.256147,0.060889,20901,hatching_multi_dir
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片1.SVG",115,115,0.286957,66.083995,12.843952,0.161929,5249,other_compiled
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片1.SVG",1591,1591,0.305468,47.061631,0.424140,0.007339,27152,other_compiled
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片1.SVG",57,57,0.508772,6.705109,34.273143,0.118936,2761,diagonal_stripes_noisy
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片4.SVG",789,789,0.352345,72.838730,0.279469,0.019002,16079,hatching_multi_dir
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片4.SVG",842,842,0.275534,91.339002,3.804244,0.119043,42511,other_compiled
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片4.SVG",29,29,0.103448,46.902551,660.571938,1.179986,554,other_compiled
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片4.SVG",1118,1118,0.324687,70.163321,0.766465,0.024035,22757,hatching_multi_dir
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片4.SVG",36,36,0.972222,26.106437,30.263250,0.164567,6300,diagonal_stripes_clean
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片4.SVG",411,411,0.861314,48.391516,0.177493,0.191108,20856,diagonal_stripes_noisy
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片5.SVG",38,38,1.000000,3.095530,0.746282,0.081622,2728,diagonal_stripes_clean
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片5.SVG",1086,1086,0.202578,63.544878,0.770360,0.038474,35282,other_compiled
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片5.SVG",379,379,0.179420,59.241344,0.343684,0.018248,7285,dots_or_speckles
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片7.SVG",33,33,1.000000,9.788215,0.002381,0.457265,1809,diagonal_stripes_clean
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片7.SVG",1035,1035,0.287923,81.484606,0.531039,0.171231,58223,other_compiled
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片7.SVG",63,63,0.841270,45.376154,0.572856,0.240338,8464,diagonal_stripes_noisy
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片6.SVG",66,66,0.939394,37.560284,7.764438,0.493521,5813,diagonal_stripes_noisy
"/Users/xiaoxiaobo/random2000/EAE5txulnXA_白黄色社员活动策划创意校园交流中文演示文稿/幻灯片6.SVG",2057,2057,0.583860,66.272575,0.457772,0.536957,91408,hatching_multi_dir
"/Users/xiaoxiaobo/random2000/EAEvHfovrUM_绿白色心理咨询场景扁平插画简洁医疗健康培训中文演示文稿/幻灯片11.SVG",26,26,0.730769,49.736823,332.875882,0.153790,1230,diagonal_stripes_noisy
